"Отметка времени","Укажите, пожалуйста, Ваш пол:","Сколько вам полных лет?","Укажите, пожалуйста, уровень Вашего образования","В каком районе вы живете?","В данный момент:","Катаетесь ли вы на велосипеде в Москве?","Давно ли вы умеете кататься на велосипеде? ","Пользуетесь ли вы услугами московского велопроката  (https://velobike.ru)","Пользуетесь ли вы услугами других велопрокатов Москвы?","С какой целью вы катаетесь на велосипеде?","Совмещаете ли вы велосипед с другими видами транспорта при планировании своей поездки?","Имеете ли вы личный велосипед? ","Есть ли рядом с вашим домом станция московского велопроката (в окрестности 500 метров) ","Есть ли у вас в распоряжении личный автомобиль?","На сколько далеко от вас расположено ваше место работы (учебы)","Как вы считаете, насколько опасна поездка на велосипеде по городу?","Инфраструктура вдоль моей дороги на работу/учебу удобна для передвижения на велосипеде","Я мог бы безопасно припарковать свой велосипед у места работы/учебы","Я мог бы безопасно припарковать свой велосипед у дома","На сколько для вас важен велосипед в городе?","Насколько положительно вы воспринимаете велосипедистов","Что для вас велосипед?"
"2019/05/27 5:45:42 PM GMT+3","Мужской","20","Неоконченное высшее","Зябликово","Я учусь","Нет","","","","","","Нет","Нет","Нет","Более 10 километров","8","1","1","1","2","4",""
"2019/05/27 5:45:43 PM GMT+3","небинарный","34","Высшее, ученая степень","Гагаринский","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы);Поручения и личные встречи;Шоппинг;Спорт","Да","Да","Да, есть","Нет","От 5 до 10 километров","5","6","4","4","10","10","Способ передвижения, развлечение, способ оставаться в форме, тема для поиска единомышленников"
"2019/05/27 5:48:15 PM GMT+3","Женский","25","Неоконченное высшее","ОВД Ивановское ","Я учусь","Нет","","","","","","Нет","Нет","Да, есть","Более 10 километров","10","10","5","10","10","10","Здоровый образ жизни "
"2019/05/27 5:48:37 PM GMT+3","Мужской","20","Неоконченное высшее","Гольяново","Я учусь","Нет","","","","","","Да","Нет","Да, есть","Более 10 километров","10","1","1","1","1","1","-"
"2019/05/27 5:49:32 PM GMT+3","Женский","40","Высшее","гагаринский","Я безработный","Нет","","","","","","Нет","Да, есть","Да, есть","Более 10 километров","6","3","3","3","3","9","морской досуг"
"2019/05/27 5:53:03 PM GMT+3","Bell UH-1 Iroquois","60","Неоконченное высшее","В районе Сайгона ","на пенсии","Нет","","","","","","Нет","Нет","Да, есть","Менее 2 километров","6","1","1","1","1","10","Ах как мощны мои лопасти! "
"2019/05/27 6:00:12 PM GMT+3","Женский","35","Высшее","Раменки","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поручения и личные встречи","Нет","Да","Нет","Нет","Более 10 километров","2","8","8","3","10","10","друг"
"2019/05/27 6:00:12 PM GMT+3","Женский","36","Высшее","Гагаринский","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Да, есть","Более 10 километров","6","1","10","10","10","10",""
"2019/05/27 6:00:31 PM GMT+3","Женский","38","Высшее","Москва","Я безработный","Нет","","","","","","Нет","Да, есть","Нет","Более 10 километров","8","1","3","1","10","10","Транспорт"
"2019/05/27 6:02:16 PM GMT+3","Женский","19","Неоконченное высшее","Куркино","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Поездка к родителям","Нет","Да","Нет","Нет","Более 10 километров","3","2","10","9","5","5","Средство передвижения, занятие спортом"
"2019/05/27 6:04:07 PM GMT+3","Мужской","40","Высшее","Гагаринский","Я работаю","Да","от 5 до 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Спорт","Нет","Да","Да, есть","Да, есть","От 2 до 5 километров","6","3","2","2","9","6","Спортивный снаряд"
"2019/05/27 6:04:48 PM GMT+3","Женский","21","Неоконченное высшее","АКАДЕМИЧЕСКИЙ","Я учусь","Нет","","","","","","Нет","Да, есть","Нет","От 2 до 5 километров","7","9","10","10","9","10","способ передвижения"
"2019/05/27 6:05:14 PM GMT+3","Мужской","43","Высшее","Ломоносовский","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","Более 10 километров","7","3","4","1","1","5",""
"2019/05/27 6:07:35 PM GMT+3","Женский","19","Неоконченное высшее","Текстильщики","Я учусь","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы)","Да","Нет","Нет","Нет","Более 10 километров","4","4","9","4","4","9","Досуг и экологичный транспорт"
"2019/05/27 6:07:53 PM GMT+3","Мужской","26","Высшее, ученая степень","Гагаринский ","Я работаю","Нет","","","","","","Да","Да, есть","Да, есть","Более 10 километров","10","1","1","1","1","1","Любители оказаться под колёсами автомобиля "
"2019/05/27 6:10:35 PM GMT+3","Мужской","26","Высшее","Раменки","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","От 5 до 10 километров","8","1","1","1","3","1",""
"2019/05/27 6:11:23 PM GMT+3","Женский","30","Высшее","раменки","Я работаю","Нет","","","","","","Да","Да, есть","Да, есть","Более 10 километров","8","2","3","1","6","8","средство передвижения в летнее время"
"2019/05/27 6:12:10 PM GMT+3","Женский","18","Среднее общее","Якиманка","Я учусь","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Нет","От 5 до 10 километров","5","3","8","8","5","10",""
"2019/05/27 6:13:51 PM GMT+3","Мужской","19","Неоконченное высшее","Академический","Я учусь","Нет","","","","","","Нет","Да, есть","Нет","От 2 до 5 километров","5","6","8","9","6","8","Средство передвижения"
"2019/05/27 6:14:52 PM GMT+3","Женский","50","Высшее","Раменки","Я работаю","Нет","","","","","","Да","Да, есть","Да, есть","От 2 до 5 километров","10","1","8","10","1","1","Средство для активного отдыха на природе"
"2019/05/27 6:15:38 PM GMT+3","Мужской","18","Неоконченное высшее","Котловка","Я учусь","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы)","Да","Нет","Да, есть","Нет","От 5 до 10 километров","3","8","9","5","7","8",""
"2019/05/27 6:17:17 PM GMT+3","Женский","38","Высшее","Обручевский","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","От 5 до 10 километров","8","1","8","1","5","1","Помеха"
"2019/05/27 6:17:26 PM GMT+3","Женский","47","Высшее, ученая степень","Обручевский","Я работаю","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Да, есть","От 5 до 10 километров","6","4","3","7","6","8","Образ жизни"
"2019/05/27 6:18:44 PM GMT+3","Женский","37","Высшее","Обручевский ","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Да","Да","Да, есть","Да, есть","От 2 до 5 километров","1","2","1","1","10","10","Кайф"
"2019/05/27 6:18:48 PM GMT+3","Женский","30","Высшее, ученая степень","Обручевский","Я работаю","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы);Поручения и личные встречи","Нет","Да","Да, есть","Да, есть","От 5 до 10 километров","8","4","7","1","3","8","Один из экологичных способов перемещения по городу на незначительные (до 15 км) расстояния, а также способ проведения досуга"
"2019/05/27 6:19:23 PM GMT+3","Мужской","42","Высшее, ученая степень","Раменки","Я работаю","Нет","","","","","","Нет","Нет","Да, есть","Более 10 километров","10","1","1","1","1","1","Средство передвижение в парке. Вне парка велосипед неуместен и вреден."
"2019/05/27 6:19:54 PM GMT+3","Женский","62","Высшее, ученая степень","Гагаринском","Я безработный","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Нет","Да, есть","От 5 до 10 километров","10","1","1","1","8","8","Друг. Только кататься стало намного хуже при Собянине, вдоль магистралей дышать нечем, в парках тьма народу. "
"2019/05/27 6:20:56 PM GMT+3","Мужской","45","Высшее, ученая степень","Академический","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Да, есть","От 5 до 10 километров","2","8","6","2","9","9","Радость"
"2019/05/27 6:23:12 PM GMT+3","Женский","53","Высшее","Обручевский","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поручения и личные встречи","Нет","Да","Да, есть","Нет","Более 10 километров","2","1","4","2","10","10","Мог бы быть любимым способом передвижения, если бы была удобная и безопасная велоинфраструктура. "
"2019/05/27 6:24:19 PM GMT+3","Мужской","20","Неоконченное высшее","Тропарёво-Никулино","Я учусь","Нет","","","","","","Нет","Да, есть","Нет","От 5 до 10 километров","3","6","10","8","6","10",""
"2019/05/27 6:25:59 PM GMT+3","Женский","46","Высшее","Раменки","фриланс","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поручения и личные встречи","Да","Нет","Да, есть","Да, есть","От 2 до 5 километров","2","7","1","1","7","8","средство передвижения, прогулок и фитнеса"
"2019/05/27 6:27:04 PM GMT+3","Женский","33","Высшее","Гагаринский","Я работаю","Нет","","","","","","Нет","Да, есть","Нет","От 5 до 10 километров","10","1","5","1","1","1",""
"2019/05/27 6:28:05 PM GMT+3","Женский","36","Высшее","Обручевский ","Я безработный","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Нет","Да, есть","Менее 2 километров","10","1","1","1","1","1","1"
"2019/05/27 6:28:10 PM GMT+3","Женский","44","Высшее","Обручевский","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","Более 10 километров","8","5","1","1","1","3","Хорошее средство передвижения для маленьких городов"
"2019/05/27 6:28:54 PM GMT+3","Женский","19","Неоконченное высшее","Академический","Я учусь","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Поездка на работу (и с работы)","Да","Нет","Нет","Нет","От 2 до 5 километров","5","5","10","8","8","10",""
"2019/05/27 6:29:06 PM GMT+3","Женский","30","Высшее","Теплый стан","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Да","Да","Нет","Да, есть","Более 10 километров","6","1","1","1","3","6",""
"2019/05/27 6:29:55 PM GMT+3","Женский","45","Высшее, ученая степень","Гагаринский","Я безработный","Нет","","","","","","Нет","Да, есть","Да, есть","От 2 до 5 километров","10","1","1","1","1","1",""
"2019/05/27 6:30:01 PM GMT+3","Мужской","20","Неоконченное высшее","Сокольники","Я учусь","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Шоппинг","Нет","Да","Да, есть","Нет","Более 10 километров","3","1","10","7","3","8",""
"2019/05/27 6:31:06 PM GMT+3","Мужской","38","Высшее","Раменки","Я работаю","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы)","Нет","Да","Да, есть","Да, есть","Более 10 километров","9","4","5","1","9","9",""
"2019/05/27 6:35:13 PM GMT+3","Мужской","20","Неоконченное высшее","Чертаново ","Я учусь","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы)","Нет","Да","Нет","Нет","Более 10 километров","7","6","9","8","7","10","1)Иногда очень хорошо заменяем общественных транспорт. 2) спорт"
"2019/05/27 6:36:13 PM GMT+3","Мужской","19","Неоконченное высшее","Замоскворечье","Я учусь","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поручения и личные встречи","Да","Нет","Да, есть","Нет","От 5 до 10 километров","6","5","7","7","8","10",""
"2019/05/27 6:38:33 PM GMT+3","Мужской","30","Высшее","Котловка","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","От 5 до 10 километров","7","1","7","3","1","1","Спортивный снаряд или атракцион"
"2019/05/27 6:39:03 PM GMT+3","Женский","19","Неоконченное высшее","Академический","Я учусь","Нет","","","","","","Нет","Да, есть","Нет","От 2 до 5 километров","3","7","8","6","2","1",""
"2019/05/27 6:40:03 PM GMT+3","Женский","36","Высшее","Гагаринский","Я работаю","Нет","","","","","","Да","Нет","Да, есть","Более 10 километров","8","2","4","1","1","4","Спорт"
"2019/05/27 6:40:59 PM GMT+3","Женский","35","Высшее","Гагаринский","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Да, есть","Менее 2 километров","5","5","1","1","5","5","развлечение"
"2019/05/27 6:42:27 PM GMT+3","Женский","50","Высшее, ученая степень","теплый стан","Я работаю","Нет","","","","","","Нет","Нет","Да, есть","Более 10 километров","10","1","1","1","1","1","это или спортивный снаряд или развлечение и отдых, но никак не средство передвижения в Москве"
"2019/05/27 6:42:41 PM GMT+3","Женский","38","Высшее","ЮЗАО","Я безработный","Нет","","","","","","Нет","Да, есть","Да, есть","Менее 2 километров","4","4","4","4","4","10","Средство передвижения"
"2019/05/27 6:44:22 PM GMT+3","Женский","33","Высшее","Обручевский","Я работаю","Нет","","","","","","Нет","Да, есть","Нет","От 5 до 10 километров","1","5","10","1","5","10",""
"2019/05/27 6:44:30 PM GMT+3","Женский","41","Высшее","Обручевский ","Я работаю","Нет","","","","","","Да","Да, есть","Да, есть","От 2 до 5 километров","10","1","1","1","1","1",""
"2019/05/27 6:47:17 PM GMT+3","Женский","41","Высшее","Гагаринский","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Да, пользуюсь","Способ проведения досуга","Да","Да","Да, есть","Да, есть","От 5 до 10 километров","7","8","2","6","5","8","Развлечение и спорт"
"2019/05/27 6:47:51 PM GMT+3","Мужской","36","Высшее","Гагаринский","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","От 2 до 5 километров","8","4","3","4","7","10","Хотел бы использовать, но инфраструктура Москвы не отвечает моему желаемому уровню безопасности и комфорта"
"2019/05/27 6:48:35 PM GMT+3","Женский","47","Высшее, ученая степень","Раменки","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","От 5 до 10 километров","10","1","5","1","1","1","Источник опасности для пешеходов и водителей и область безответственности велосипедиста (с учётом организации велосипедного движения в Москве) ."
"2019/05/27 6:48:55 PM GMT+3","Женский","36","Высшее","Раменки","Я работаю","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Да, есть","Менее 2 километров","4","4","8","1","5","10","Отдых и спорт"
"2019/05/27 6:50:23 PM GMT+3","Женский","19","Среднее общее","Черемушки","Я учусь","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Шоппинг","Нет","Да","Да, есть","Нет","От 5 до 10 километров","5","7","8","4","4","7",""
"2019/05/27 6:52:28 PM GMT+3","Мужской","44","Высшее","Обручевский","Я работаю","Да","от 1 до 5 лет","Нет, не пользуюсь","Нет, не пользуюсь","аэробное упражнение для здоровья","Нет","Да","Да, есть","Да, есть","Более 10 километров","10","1","1","1","7","7","спорт"
"2019/05/27 6:59:32 PM GMT+3","Женский","40","Высшее","Чертаново","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Да","Да","Нет","Да, есть","Более 10 километров","8","3","6","3","3","8","Спорт, времяпровождения, путешествия за городом"
"2019/05/27 6:59:51 PM GMT+3","Женский","37","Высшее","Гагаринский","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Да, есть","От 5 до 10 километров","4","8","4","3","3","9","Досуг"
"2019/05/27 7:14:39 PM GMT+3","Женский","57","Высшее","Обручевский","Я работаю","Нет","","","","","","Да","Да, есть","Да, есть","От 2 до 5 километров","10","4","1","1","5","10","Средство передвижения за городом, но мои трое детей активно ездят по городу и любят участвовать в велопарадах. Я уважаю их мнение и их увлечения, хотя считаю, что Москва не приспособлена для передвижения велосипедистов. Кроме того, экология Москвы не благоприятствует поддержанию здоровья тех, кто передвигается на велосипеде по проезжей части."
"2019/05/27 7:15:14 PM GMT+3","Женский","37","Высшее","Раменки","Я работаю","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Да","Нет","Да, есть","Да, есть","От 5 до 10 километров","10","4","1","1","10","10","Летний транспорт"
"2019/05/27 7:20:03 PM GMT+3","Чечен","30","Неполное среднее (9 классов школы)","Чертаново ","Я работаю","Да","Более 10 лет","Да, пользуюсь","Да, пользуюсь","Поручения и личные встречи","Нет","Да","Да, есть","Нет","Более 10 километров","8","10","1","1","10","10","Два колеса и руль "
"2019/05/27 7:27:44 PM GMT+3","Женский","38","Высшее, ученая степень","Обручевский","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Да","Да","Да, есть","Нет","Более 10 километров","6","3","10","10","10","10",""
"2019/05/27 7:28:45 PM GMT+3","Мужской","20","Неоконченное высшее","Академический","Я учусь","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Нет","От 2 до 5 километров","5","4","8","10","7","8",""
"2019/05/27 7:30:28 PM GMT+3","Мужской","34","Высшее","Раменки","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","Более 10 километров","6","3","3","4","2","9","Спорт"
"2019/05/27 7:34:42 PM GMT+3","Женский","36","Высшее","Обручевский ","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы)","Нет","Да","Да, есть","Да, есть","От 2 до 5 километров","5","6","10","1","10","10",""
"2019/05/27 7:37:14 PM GMT+3","Женский","42","Высшее","ЮЗАО","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Поручения и личные встречи","Нет","Да","Да, есть","Нет","От 5 до 10 километров","5","5","10","1","5","5",""
"2019/05/27 7:37:17 PM GMT+3","Женский","45","Высшее","Тушино","Я работаю","Нет","","","","","","Нет","Нет","Да, есть","Более 10 километров","10","1","10","1","2","4","Развлечение"
"2019/05/27 7:48:03 PM GMT+3","Женский","19","Среднее общее","вьетнамский район","Я учусь","Нет","","","","","","Нет","Да, есть","Нет","От 2 до 5 километров","2","9","5","2","5","8","существительное"
"2019/05/27 7:56:45 PM GMT+3","Женский","39","Высшее","Филевский парк","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы);Поручения и личные встречи","Да","Да","Да, есть","Нет","От 5 до 10 километров","10","1","1","1","10","10",""
"2019/05/27 7:57:52 PM GMT+3","Женский","34","Высшее","Гагаринский","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы)","Нет","Да","Да, есть","Да, есть","От 5 до 10 километров","7","8","10","3","8","8",""
"2019/05/27 8:01:37 PM GMT+3","Женский","39","Высшее","Раменки","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","Более 10 километров","9","2","9","1","5","5","Развлечение"
"2019/05/27 8:03:21 PM GMT+3","Женский","27","Высшее","Обручевский ","Я работаю","Да","от 1 до 5 лет","Нет, не пользуюсь","Нет, не пользуюсь","Ездовой спорт с собаками","Да","Да","Да, есть","Да, есть","Более 10 километров","10","1","10","1","10","2",""
"2019/05/27 8:09:48 PM GMT+3","Женский","33","Высшее, ученая степень","Раменки","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Да, есть","Более 10 километров","8","1","10","1","6","7","Отдых"
"2019/05/27 8:19:31 PM GMT+3","Мужской","49","Среднее общее","Юзао","Я работаю","Да","Более 10 лет","Да, пользуюсь","Да, пользуюсь","Способ проведения досуга","Нет","Нет","Да, есть","Да, есть","От 5 до 10 километров","7","3","3","3","5","7","Средство передвижения"
"2019/05/27 8:21:04 PM GMT+3","Мужской","39","Высшее, ученая степень","Раменки","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы)","Нет","Да","Да, есть","Нет","От 2 до 5 километров","3","3","8","1","9","10","Удобный транспорт"
"2019/05/27 8:22:31 PM GMT+3","Женский","45","Высшее","Раменки","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","Менее 2 километров","9","3","3","10","1","1","Ничего"
"2019/05/27 8:26:15 PM GMT+3","Мужской","41","Высшее, ученая степень","Теплый стан","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Спорт","Нет","Да","Нет","Да, есть","Более 10 километров","8","2","10","1","8","8","Радость и здоровье"
"2019/05/27 8:26:36 PM GMT+3","Женский","30","Неоконченное высшее","Выхино Жулебино","Я безработный","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Да","Нет","Нет","Да, есть","Более 10 километров","8","1","1","1","5","5",""
"2019/05/27 8:29:38 PM GMT+3","Женский","35","Высшее","Раменки","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Да, есть","От 2 до 5 километров","10","2","1","10","5","9","Спорт "
"2019/05/27 8:32:40 PM GMT+3","Женский","35","Высшее","Гагаринский ","Я работаю","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы);Поручения и личные встречи;Шоппинг","Да","Да","Да, есть","Да, есть","От 2 до 5 километров","3","4","3","1","10","10","Транспортное средство. Альтернатива автомобилю. "
"2019/05/27 8:34:41 PM GMT+3","Женский","40","Высшее, ученая степень","Обручевский","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Да, есть","От 2 до 5 километров","8","4","9","2","8","9","Спортивный досуг"
"2019/05/27 8:35:37 PM GMT+3","Женский","19","Неоконченное высшее","СЗАО","Я учусь","Нет","","","","","","Нет","Нет","Нет","От 5 до 10 километров","4","1","10","1","10","10",""
"2019/05/27 8:37:32 PM GMT+3","Мужской","20","Неоконченное высшее","Академический","Я учусь","Нет","","","","","","Нет","Да, есть","Нет","От 2 до 5 километров","3","7","7","10","1","5",""
"2019/05/27 8:39:53 PM GMT+3","Женский","43","Высшее","Гагаринский","Домохозяйка","Нет","","","","","","Да","Да, есть","Да, есть","От 5 до 10 километров","8","1","4","4","1","1","Средство передвижения, развлечения и занятий спортом на даче"
"2019/05/27 8:49:14 PM GMT+3","Женский","46","Высшее","Гагаринский","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","От 5 до 10 километров","8","2","3","3","1","9","Не использую"
"2019/05/27 8:50:35 PM GMT+3","Женский","36","Высшее","Гагаринский","Декрет","Нет","","","","","","Нет","Да, есть","Нет","Более 10 километров","6","4","10","3","4","4","Средство передвижения. Очень бесит, что из-за моды на велосипед их стало так много на тротуарах. По выходным бывает опасно ходить по тротуарам (детям в частности) Из-за бестолковых многочисленных велосипедистов. Я за то, чтоб сделали удобную инфраструктуру для передвижения по городу на велосипедах и чтоб у велосипедистов и в парках, и в городе был свой участок дороги. И чтоб велосипедисты соблюдали правила и по тротуарам особо не ездили."
"2019/05/27 8:57:39 PM GMT+3","Женский","37","Высшее","Гагаринский ","Я работаю","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Нет","Да, есть","Да, есть","От 2 до 5 километров","8","9","10","8","1","1","Для отдыха и парков. На дороге с транспортом - помеха"
"2019/05/27 8:58:08 PM GMT+3","Мужской","42","Среднее общее","гагаринский","Я работаю","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы);Поручения и личные встречи","Нет","Да","Да, есть","Да, есть","Более 10 километров","1","8","1","1","10","10","merida crossway 40"
